2007-05-20_17-12-43/ to 2007-06-01_14-40-03/;0.623955276
2007-06-01_14-40-03/ to 2007-07-01_14-53-06/;0.621823481
2007-07-01_14-53-06/ to 2007-08-01_23-30-54/;0.622678577
2007-08-01_23-30-54/ to 2007-09-02_14-51-54/;0.624868853
2007-09-02_14-51-54/ to 2007-10-01_09-59-01/;0.627735207
2007-10-01_09-59-01/ to 2007-11-02_23-31-10/;0.626196172
2007-11-02_23-31-10/ to 2007-12-02_01-43-18/;0.62582681
2007-12-02_01-43-18/ to 2008-01-02_19-55-04/;0.628269301
2008-01-02_19-55-04/ to 2008-02-01_01-41-57/;0.626416538
2008-02-01_01-41-57/ to 2008-03-01_09-35-39/;0.618868714
2008-03-01_09-35-39/ to 2008-04-01_14-47-57/;0.616461288
2008-04-01_14-47-57/ to 2008-05-02_09-19-29/;0.619725238
2008-05-02_09-19-29/ to 2008-06-01_10-10-22/;0.618613907
2008-06-01_10-10-22/ to 2008-07-01_01-57-36/;0.621348922
2008-07-01_01-57-36/ to 2008-08-01_02-15-05/;0.624031544
2008-08-01_02-15-05/ to 2008-09-01_15-23-04/;0.623429113
2008-09-01_15-23-04/ to 2008-10-02_13-30-31/;0.622574055
2008-10-02_13-30-31/ to 2008-11-01_00-10-51/;0.623206722
2008-11-01_00-10-51/ to 2008-12-01_12-36-41/;0.619673326
2008-12-01_12-36-41/ to 2009-01-01_17-52-09/;0.622819214
2009-01-01_17-52-09/ to 2009-02-01_00-40-45/;0.623143839
2009-02-01_00-40-45/ to 2009-03-01_04-50-18/;0.620992973
2009-03-01_04-50-18/ to 2009-04-01_11-24-04/;0.622418763
2009-04-01_11-24-04/ to 2009-05-01_03-00-04/;0.620753634
2009-05-01_03-00-04/ to 2009-06-01_11-26-30/;0.620473416
2009-06-01_11-26-30/ to 2009-07-02_12-04-50/;0.619499751
2009-07-02_12-04-50/ to 2009-08-01_06-53-03/;0.621726262
2009-08-01_06-53-03/ to 2009-09-02_11-49-25/;0.62135815
2009-09-02_11-49-25/ to 2009-10-02_01-10-32/;0.6222233
2009-10-02_01-10-32/ to 2009-11-01_04-01-30/;0.622540105
2009-11-01_04-01-30/ to 2009-12-01_02-32-01/;0.623110529
2009-12-01_02-32-01/ to 2010-01-01_16-45-43/;0.622201482
2010-01-01_16-45-43/ to 2010-02-01_04-55-30/;0.620874838
2010-02-01_04-55-30/ to 2010-03-02_15-02-45/;0.620836189
2010-03-02_15-02-45/ to 2010-04-01_15-09-44/;0.619840874
2010-04-01_15-09-44/ to 2010-05-02_14-17-07/;0.620601028
